source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,2003,114,0.65,0.06
2014-01-02,4017,2483,122,0.62,0.05
2014-01-03,4394,2799,143,0.64,0.05
2014-01-04,4077,2542,223,0.62,0.09
2014-01-05,4626,3174,137,0.69,0.04
2014-01-06,4565,2922,135,0.64,0.05
2014-01-07,4877,2985,115,0.61,0.04
2014-01-08,4833,3088,123,0.64,0.04
2014-01-09,4773,3003,123,0.63,0.04
2014-01-10,4992,3209,137,0.64,0.04
2014-01-11,4262,2628,222,0.62,0.08
2014-01-12,4536,3198,125,0.71,0.04
2014-01-13,4821,2945,142,0.61,0.05
2014-01-14,5008,2999,107,0.6,0.04
2014-01-15,5039,3161,132,0.63,0.04
2014-01-16,4997,3118,130,0.62,0.04
2014-01-17,5186,3306,136,0.64,0.04
2014-01-18,4438,2885,240,0.65,0.08
2014-01-19,4927,3055,122,0.62,0.04
2014-01-20,4731,2970,119,0.63,0.04
2014-01-21,4971,2976,107,0.6,0.04
2014-01-22,5052,3209,114,0.64,0.04
2014-01-23,5137,3120,139,0.61,0.04
2014-01-24,5178,3395,143,0.66,0.04
2014-01-25,4094,2855,218,0.7,0.08
2014-01-26,4870,3020,128,0.62,0.04
2014-01-27,4905,2954,127,0.6,0.04
2014-01-28,5044,3017,88,0.6,0.03
2014-01-29,5487,3016,103,0.55,0.03
2014-01-30,5014,3176,123,0.63,0.04
