source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,1018,160,0.33,0.16
2014-01-02,4017,1368,201,0.34,0.15
2014-01-03,4394,1535,182,0.35,0.12
2014-01-04,4077,1505,322,0.37,0.21
2014-01-05,4626,1759,204,0.38,0.12
2014-01-06,4565,1559,188,0.34,0.12
2014-01-07,4877,1567,186,0.32,0.12
2014-01-08,4833,1629,192,0.34,0.12
2014-01-09,4773,1628,198,0.34,0.12
2014-01-10,4992,1827,224,0.37,0.12
2014-01-11,4262,1554,297,0.36,0.19
2014-01-12,4536,1981,237,0.44,0.12
2014-01-13,4821,1588,191,0.33,0.12
2014-01-14,5008,1585,185,0.32,0.12
2014-01-15,5039,1686,178,0.33,0.11
2014-01-16,4997,1761,199,0.35,0.11
2014-01-17,5186,1873,199,0.36,0.11
2014-01-18,4438,1696,284,0.38,0.17
2014-01-19,4927,1751,173,0.36,0.1
2014-01-20,4731,1536,163,0.32,0.11
2014-01-21,4971,1613,190,0.32,0.12
2014-01-22,5052,1766,232,0.35,0.13
2014-01-23,5137,1776,229,0.35,0.13
2014-01-24,5178,1916,182,0.37,0.09
2014-01-25,4094,1740,276,0.43,0.16
2014-01-26,4870,1714,186,0.35,0.11
2014-01-27,4905,1519,188,0.31,0.12
2014-01-28,5044,1521,169,0.3,0.11
2014-01-29,5487,1577,186,0.29,0.12
2014-01-30,5014,1759,209,0.35,0.12
