source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,560,153,0.18,0.27
2014-01-02,4017,734,163,0.18,0.22
2014-01-03,4394,839,185,0.19,0.22
2014-01-04,4077,753,209,0.18,0.28
2014-01-05,4626,945,223,0.2,0.24
2014-01-06,4565,864,174,0.19,0.2
2014-01-07,4877,845,184,0.17,0.22
2014-01-08,4833,882,185,0.18,0.21
2014-01-09,4773,895,191,0.19,0.21
2014-01-10,4992,1032,215,0.21,0.21
2014-01-11,4262,824,243,0.19,0.29
2014-01-12,4536,1012,209,0.22,0.21
2014-01-13,4821,845,168,0.18,0.2
2014-01-14,5008,856,180,0.17,0.21
2014-01-15,5039,877,199,0.17,0.23
2014-01-16,4997,992,211,0.2,0.21
2014-01-17,5186,1018,201,0.2,0.2
2014-01-18,4438,897,237,0.2,0.26
2014-01-19,4927,1002,190,0.2,0.19
2014-01-20,4731,871,167,0.18,0.19
2014-01-21,4971,909,193,0.18,0.21
2014-01-22,5052,964,224,0.19,0.23
2014-01-23,5137,966,209,0.19,0.22
2014-01-24,5178,1065,214,0.21,0.2
2014-01-25,4094,963,251,0.24,0.26
2014-01-26,4870,909,187,0.19,0.21
2014-01-27,4905,801,162,0.16,0.2
2014-01-28,5044,823,155,0.16,0.19
2014-01-29,5487,876,197,0.16,0.22
2014-01-30,5014,968,198,0.19,0.2
