source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,1447,179,0.47,0.12
2014-01-02,4017,1866,194,0.46,0.1
2014-01-03,4394,2127,213,0.48,0.1
2014-01-04,4077,1997,293,0.49,0.15
2014-01-05,4626,2457,248,0.53,0.1
2014-01-06,4565,2216,200,0.49,0.09
2014-01-07,4877,2209,189,0.45,0.09
2014-01-08,4833,2244,202,0.46,0.09
2014-01-09,4773,2243,199,0.47,0.09
2014-01-10,4992,2521,236,0.51,0.09
2014-01-11,4262,2104,303,0.49,0.14
2014-01-12,4536,2566,221,0.57,0.09
2014-01-13,4821,2252,242,0.47,0.11
2014-01-14,5008,2223,196,0.44,0.09
2014-01-15,5039,2348,204,0.47,0.09
2014-01-16,4997,2384,202,0.48,0.08
2014-01-17,5186,2535,220,0.49,0.09
2014-01-18,4438,2271,299,0.51,0.13
2014-01-19,4927,2355,193,0.48,0.08
2014-01-20,4731,2207,178,0.47,0.08
2014-01-21,4971,2215,200,0.45,0.09
2014-01-22,5052,2464,229,0.49,0.09
2014-01-23,5137,2386,224,0.46,0.09
2014-01-24,5178,2635,197,0.51,0.07
2014-01-25,4094,2298,275,0.56,0.12
2014-01-26,4870,2318,210,0.48,0.09
2014-01-27,4905,2208,204,0.45,0.09
2014-01-28,5044,2160,158,0.43,0.07
2014-01-29,5487,2184,188,0.4,0.09
2014-01-30,5014,2407,208,0.48,0.09
