source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,1652,181,0.54,0.11
2014-01-02,4017,2111,173,0.53,0.08
2014-01-03,4394,2401,202,0.55,0.08
2014-01-04,4077,2204,292,0.54,0.13
2014-01-05,4626,2719,231,0.59,0.08
2014-01-06,4565,2489,194,0.55,0.08
2014-01-07,4877,2493,180,0.51,0.07
2014-01-08,4833,2563,201,0.53,0.08
2014-01-09,4773,2544,183,0.53,0.07
2014-01-10,4992,2761,211,0.55,0.08
2014-01-11,4262,2295,280,0.54,0.12
2014-01-12,4536,2806,203,0.62,0.07
2014-01-13,4821,2507,221,0.52,0.09
2014-01-14,5008,2528,186,0.5,0.07
2014-01-15,5039,2658,211,0.53,0.08
2014-01-16,4997,2630,202,0.53,0.08
2014-01-17,5186,2824,215,0.54,0.08
2014-01-18,4438,2469,292,0.56,0.12
2014-01-19,4927,2607,196,0.53,0.08
2014-01-20,4731,2474,172,0.52,0.07
2014-01-21,4971,2490,184,0.5,0.07
2014-01-22,5052,2741,202,0.54,0.07
2014-01-23,5137,2664,213,0.52,0.08
2014-01-24,5178,2941,194,0.57,0.07
2014-01-25,4094,2517,275,0.61,0.11
2014-01-26,4870,2558,207,0.53,0.08
2014-01-27,4905,2496,208,0.51,0.08
2014-01-28,5044,2495,149,0.49,0.06
2014-01-29,5487,2524,185,0.46,0.07
2014-01-30,5014,2710,199,0.54,0.07
