source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,1821,165,0.59,0.09
2014-01-02,4017,2284,156,0.57,0.07
2014-01-03,4394,2591,174,0.59,0.07
2014-01-04,4077,2355,272,0.58,0.12
2014-01-05,4626,2919,183,0.63,0.06
2014-01-06,4565,2701,169,0.59,0.06
2014-01-07,4877,2723,160,0.56,0.06
2014-01-08,4833,2838,175,0.59,0.06
2014-01-09,4773,2774,169,0.58,0.06
2014-01-10,4992,2970,183,0.59,0.06
2014-01-11,4262,2436,247,0.57,0.1
2014-01-12,4536,2986,164,0.66,0.05
2014-01-13,4821,2694,192,0.56,0.07
2014-01-14,5008,2770,155,0.55,0.06
2014-01-15,5039,2895,174,0.57,0.06
2014-01-16,4997,2871,179,0.57,0.06
2014-01-17,5186,3027,183,0.58,0.06
2014-01-18,4438,2638,275,0.59,0.1
2014-01-19,4927,2810,173,0.57,0.06
2014-01-20,4731,2702,157,0.57,0.06
2014-01-21,4971,2726,152,0.55,0.06
2014-01-22,5052,2954,176,0.58,0.06
2014-01-23,5137,2887,182,0.56,0.06
2014-01-24,5178,3162,172,0.61,0.05
2014-01-25,4094,2682,250,0.66,0.09
2014-01-26,4870,2763,175,0.57,0.06
2014-01-27,4905,2715,173,0.55,0.06
2014-01-28,5044,2725,139,0.54,0.05
2014-01-29,5487,2771,158,0.51,0.06
2014-01-30,5014,2924,170,0.58,0.06
