source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,130,64,0.04,0.49
2014-01-02,4017,160,80,0.04,0.5
2014-01-03,4394,159,73,0.04,0.46
2014-01-04,4077,142,70,0.03,0.49
2014-01-05,4626,148,72,0.03,0.49
2014-01-06,4565,167,64,0.04,0.38
2014-01-07,4877,152,69,0.03,0.45
2014-01-08,4833,179,93,0.04,0.52
2014-01-09,4773,190,96,0.04,0.51
2014-01-10,4992,188,86,0.04,0.46
2014-01-11,4262,161,80,0.04,0.5
2014-01-12,4536,184,89,0.04,0.48
2014-01-13,4821,173,83,0.04,0.48
2014-01-14,5008,184,81,0.04,0.44
2014-01-15,5039,164,68,0.03,0.41
2014-01-16,4997,181,86,0.04,0.48
2014-01-17,5186,177,84,0.03,0.47
2014-01-18,4438,164,87,0.04,0.53
2014-01-19,4927,173,82,0.04,0.47
2014-01-20,4731,171,72,0.04,0.42
2014-01-21,4971,183,82,0.04,0.45
2014-01-22,5052,168,78,0.03,0.46
2014-01-23,5137,181,99,0.04,0.55
2014-01-24,5178,192,84,0.04,0.44
2014-01-25,4094,212,104,0.05,0.49
2014-01-26,4870,134,73,0.03,0.54
2014-01-27,4905,151,77,0.03,0.51
2014-01-28,5044,122,45,0.02,0.37
2014-01-29,5487,167,68,0.03,0.41
2014-01-30,5014,180,78,0.04,0.43
